,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX,SPOT,SPOT,SPOT,SPOT,SPOT,SPOT
Price,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name,Close,High,Low,Open,Volume,company_name
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,GOOG,GOOG,GOOG,GOOG,GOOG,,MSFT,MSFT,MSFT,MSFT,MSFT,,AMZN,AMZN,AMZN,AMZN,AMZN,,NFLX,NFLX,NFLX,NFLX,NFLX,,SPOT,SPOT,SPOT,SPOT,SPOT,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,122.15937042236328,123.31283199690465,121.46533953245027,121.77814229209847,105861300,APPLE,112.32978820800781,113.05636049574576,111.37382867206209,112.28608096541855,26670000,GOOGLE,234.17147827148438,236.64780801391828,232.6201626938285,232.98631627818247,29624300,MICROSOFT,158.07350158691406,160.19200134277344,156.64999389648438,159.27349853515625,67018000,AMAZON,486.6600036621094,490.7799987792969,482.7099914550781,489.1300048828125,2712500,NETFLIX,217.07000732421875,231.41000366210938,214.15499877929688,229.0,1635700,SPOTIFY
2021-05-14,124.58360290527344,125.01370954120979,123.01958894433238,123.41059429901935,81918000,APPLE,115.0208740234375,115.2681821640389,113.39003607815347,113.81264300616404,26624000,GOOGLE,239.10487365722656,240.09732876118926,236.54184239891873,236.62855835108564,23901100,MICROSOFT,161.14500427246094,161.4429931640625,159.14999389648438,159.2779998779297,66500000,AMAZON,493.3699951171875,494.8500061035156,486.5899963378906,487.8599853515625,2882500,NETFLIX,223.58999633789062,223.85000610351562,216.8000030517578,219.0500030517578,2461700,SPOTIFY
2021-05-17,123.43013763427734,124.07529756948797,122.35487853339957,123.96777091361953,74244600,APPLE,115.28160095214844,115.37744167096106,113.97007284866895,114.68120976985234,19842000,GOOGLE,236.24313354492188,237.6017422952167,234.64365204657955,237.56320677225798,24970200,MICROSOFT,163.51950073242188,164.6374969482422,161.72950744628906,162.29649353027344,74478000,AMAZON,488.94000244140625,492.7099914550781,482.80999755859375,485.5899963378906,2705200,NETFLIX,223.3300018310547,223.6999969482422,215.94000244140625,222.9600067138672,1352400,SPOTIFY
2021-05-18,122.04206848144531,124.1339383673377,121.97364310976869,123.71360895337953,63342900,APPLE,114.38871002197266,116.36121175024678,114.37529777706739,116.0511312565923,17302000,GOOGLE,234.21963500976562,237.42825689382158,234.04618843902213,237.29336053995436,20168000,MICROSOFT,161.61399841308594,165.60000610351562,161.51849365234375,164.62899780273438,56568000,AMAZON,486.2799987792969,493.4800109863281,486.19000244140625,488.3999938964844,2350500,NETFLIX,220.99000549316406,230.3800048828125,220.5,225.63999938964844,1292600,SPOTIFY
2021-05-19,121.88567352294922,122.1104965529405,120.09682917810171,120.39008503908883,92612000,APPLE,114.65091705322266,115.05067773178804,112.40677566111775,112.45047533192839,19350000,GOOGLE,234.7991485595703,234.90538436974762,230.43385737322748,231.11954918173777,25739800,MICROSOFT,161.58999633789062,161.7375030517578,159.1999969482422,159.75,53594000,AMAZON,487.70001220703125,488.57000732421875,478.5400085449219,481.6300048828125,3349900,NETFLIX,220.30999755859375,220.8800048828125,211.10000610351562,212.67999267578125,1831800,SPOTIFY
2021-05-20,124.44673919677734,124.84752169451296,122.2864439727993,122.41352498808429,76857100,APPLE,117.0038070678711,117.21486427042537,115.26570140984182,115.61084317058365,23832000,GOOGLE,238.0441131591797,239.4638029635888,235.5137884879569,235.6103718400931,21800700,MICROSOFT,162.38400268554688,162.98399353027344,161.8090057373047,162.22000122070312,52664000,AMAZON,501.6700134277344,502.70001220703125,488.9800109863281,489.54998779296875,3721200,NETFLIX,228.67999267578125,231.19000244140625,223.51499938964844,225.4600067138672,1233400,SPOTIFY
2021-05-21,122.60902404785156,125.12122331133726,122.39397075203622,124.94527129274346,79295400,APPLE,116.45803833007812,117.64491584936623,116.32246857889487,117.49544131402216,22832000,GOOGLE,236.77899169921875,239.8308434203437,236.36371563375428,239.09685992167127,21863100,MICROSOFT,160.1540069580078,162.83450317382812,159.85049438476562,162.5,82098000,AMAZON,497.8900146484375,505.3999938964844,497.260009765625,503.1199951171875,3322900,NETFLIX,229.13999938964844,231.55999755859375,225.39700317382812,229.9499969482422,1037500,SPOTIFY
2021-05-24,124.24147033691406,125.06258229000034,123.10756306374581,123.17598843835246,63092900,APPLE,119.515625,120.10211138815971,117.20344496256361,117.54560117294325,21244000,GOOGLE,242.19699096679688,242.56399008801017,239.0389034036192,239.30931915507537,21411500,MICROSOFT,162.24949645996094,162.8975067138672,160.52499389648438,160.77499389648438,48456000,AMAZON,502.8999938964844,504.25,499.510009765625,501.04998779296875,2412600,NETFLIX,234.05999755859375,235.61500549316406,228.3300018310547,229.66000366210938,980900,SPOTIFY
2021-05-25,124.04597473144531,125.43404408732667,123.47901735071959,124.94528180981987,72009500,APPLE,119.63480377197266,120.81771069476025,119.33286914222899,120.17759048740629,18838000,GOOGLE,243.1048126220703,244.09955940034632,242.23562127253584,243.15310430516726,17704300,MICROSOFT,162.95249938964844,163.99099731445312,160.68800354003906,163.33349609375,65222000,AMAZON,501.3399963378906,506.3699951171875,499.2200012207031,506.0,2699500,NETFLIX,236.75999450683594,239.09500122070312,233.25,237.00999450683594,1126600,SPOTIFY
2021-05-26,123.99707794189453,124.52493396410016,123.57674856075704,124.10460458296265,56575900,APPLE,120.8494873046875,121.31699115358892,119.80587831729613,119.82176841667285,21856000,GOOGLE,242.8826904296875,244.28306083094176,242.16801182939886,242.82473156759428,17771600,MICROSOFT,163.25799560546875,164.7864990234375,162.92550659179688,163.72950744628906,47680000,AMAZON,502.3599853515625,504.1400146484375,500.5,502.3399963378906,2465300,NETFLIX,238.38999938964844,239.47000122070312,231.52999877929688,237.89999389648438,1364500,SPOTIFY
